time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-04T22:21:03.200Z,35.8766667,-117.7055,9.68,0.69,ml,11,86,0.08399,0.23,ci,ci39043072,2019-09-04T22:24:47.167Z,"19km ESE of Little Lake, CA",earthquake,0.59,1.59,0.242,9,automatic,ci,ci
2019-09-04T22:19:28.960Z,33.5418333,-116.8836667,0.01,0.96,ml,18,69,0.09289,0.36,ci,ci39043064,2019-09-04T22:23:42.159Z,"11km N of Aguanga, CA",earthquake,0.69,31.61,0.238,29,automatic,ci,ci
2019-09-04T22:19:27.290Z,33.5201667,-116.7371667,3.67,1.06,ml,32,38,0.04511,0.16,ci,ci39043056,2019-09-04T22:23:17.154Z,"7km WSW of Anza, CA",earthquake,0.2,0.48,0.399,6,automatic,ci,ci
2019-09-04T22:12:18.350Z,35.8771667,-117.6966667,6.58,0.92,ml,15,75,0.07996,0.13,ci,ci39043048,2019-09-04T22:16:04.207Z,"20km ESE of Little Lake, CA",earthquake,0.26,0.81,0.33,11,automatic,ci,ci
2019-09-04T22:10:14.780Z,38.8323326,-122.8115005,2.06,0.56,md,8,92,0.008994,0.01,nc,nc73265395,2019-09-04T22:33:03.722Z,"8km W of Cobb, CA",earthquake,0.41,1.32,,1,automatic,nc,nc
2019-09-04T22:03:57.570Z,46.3215,-122.457666666667,1.96,1.39,ml,15,163,,0.15,uw,uw61548051,2019-09-04T22:21:03.820Z,"29km SSW of Morton, Washington",earthquake,0.58,3.53,0.114666911444481,10,reviewed,uw,uw
2019-09-04T21:55:32.460Z,35.8601667,-117.6935,1.76,0.88,ml,15,75,0.07756,0.3,ci,ci39043032,2019-09-04T21:59:17.009Z,"21km ESE of Little Lake, CA",earthquake,0.48,0.75,0.207,11,automatic,ci,ci
2019-09-04T21:39:46.580Z,36.0636667,-117.856,3.76,1.01,ml,9,140,0.05381,0.07,ci,ci39043000,2019-09-04T21:43:32.331Z,"9km ENE of Coso Junction, CA",earthquake,0.22,0.43,0.327,14,automatic,ci,ci
2019-09-04T21:37:07.740Z,35.7336667,-117.6008333,8.2,1.8,ml,31,47,0.08194,0.21,ci,ci39042992,2019-09-04T21:48:20.480Z,"14km NNE of Ridgecrest, CA",earthquake,0.28,0.91,0.156,26,automatic,ci,ci
2019-09-04T21:24:57.550Z,33.5975,-116.8061667,4.78,0.69,ml,27,83,0.03532,0.15,ci,ci39042968,2019-09-04T21:28:40.060Z,"13km WNW of Anza, CA",earthquake,0.32,0.54,0.128,20,automatic,ci,ci
2019-09-04T21:19:18.520Z,36.0646667,-117.8515,2.41,1.28,ml,14,130,0.05287,0.13,ci,ci39042944,2019-09-04T21:23:05.247Z,"9km ENE of Coso Junction, CA",earthquake,0.23,0.25,0.256,15,automatic,ci,ci
2019-09-04T20:58:08.140Z,33.2713333,-116.4241667,3.16,1.46,ml,42,74,0.00665,0.21,ci,ci39042928,2019-09-04T21:09:04.410Z,"5km WNW of Borrego Springs, CA",earthquake,0.26,0.47,0.121,26,automatic,ci,ci
2019-09-04T20:50:12.490Z,35.7036667,-117.5831667,2.92,2.12,ml,34,50,0.08225,0.19,ci,ci39042904,2019-09-04T21:00:58.450Z,"12km NE of Ridgecrest, CA",earthquake,0.21,0.44,0.127,26,automatic,ci,ci
2019-09-04T20:48:02.000Z,38.1495,-122.2723333,4.81,1.3,md,25,65,0.02805,0.14,nc,nc73265360,2019-09-05T01:10:03.344Z,"3km SSW of American Canyon, CA",earthquake,0.23,0.41,0.174,18,reviewed,nc,nc
2019-09-04T20:22:06.720Z,35.5251667,-117.3636667,8.91,1.07,ml,22,82,0.0007366,0.19,ci,ci39042872,2019-09-04T20:25:45.356Z,"27km S of Trona, CA",earthquake,0.34,0.51,0.154,14,automatic,ci,ci
